id,score,date,period,doc_dist,title,top2vec
1350808704,1.0,1943-10-27,4,0.29158452,Freer Entry for Refugees.,0
1942933052,1.0,2014-07-05,8,0.42403162,Canada to boost efforts to help refugees.,3
1368739322,1.0,2004-08-12,8,0.19837369,Tighter security cited in refugee-claims decline.,7
1151694043,1.0,1992-03-20,7,0.14079274,Changes to immigration laws imminent.,2
1151680593,1.0,1985-05-25,7,0.3112192,"20,000 refugees get chance to stay.",2
1151437933,1.0,1986-03-13,7,0.19074848,Amnesty angered by proposals to tighten rules on refugee status.,2
1151577404,1.0,1992-11-14,7,0.25277272,Senate asked to stand and fight.,8
1412596812,1.0,2009-08-26,8,0.6106019,VISA REQUIREMENTS.,10
1366061699,1.0,2005-04-19,8,0.11925318,Volpe promises to revamp refugee process.,10
1238469295,1.0,1987-05-06,7,0.28580868,Bill would keep half of new arrivals out of refugee process.,2
1269996330,1.0,2001-01-08,7,0.102626264,Don't slam the door.,14
1125784644,1.0,2001-12-07,7,0.19428922,"Crack down on refugees, Commons report urges.",7
1233232979,1.0,1985-07-16,7,0.20912623,Canada's refugee door off hinges.,2
2459922906,1.0,2017-05-05,8,0.12527712,BURDEN OF PROOF.,9
2610443737,1.0,2018-09-21,8,0.17939685,"HOPE, AT THE BORDER.",16
2610163025,1.0,2018-06-11,8,0.26542306,Let's ensure our border remains a beacon of hope.,5
1237316622,1.0,1988-04-29,7,0.13011801,Showing some initiative deserves to be rewarded.,0
1368808929,1.0,2004-11-17,8,0.14385508,A thicket of problems at Sgro's Immigration.,10
1238508446,1.0,1987-08-20,7,0.20888753,Display Ad 10 -- No Title.,8
1237352408,1.0,1988-02-25,7,0.21745446,Immigration bills assailed as block to refugee claims.,2
1238534324,1.0,1987-08-19,7,0.09705976,Security checks in bill are a threat to refugees.,4
1238500318,1.0,1987-08-05,7,0.17315143,Custody rule could halt bogus refugees.,14
1444923684,1.0,2010-08-18,8,0.23517564,REFUGEE CLAIMANTS.,13
1284702203,1.0,1962-05-25,5,0.21111867,Chinese Refugees.,0
1125526469,1.0,2001-10-16,7,0.12304586,Immigration security: From bad to worse.,9
1291359630,1.0,1950-11-21,4,0.27434716,Swift Relief Urged for Refugees.,0
1125781473,1.0,2001-10-30,7,0.13450728,Firing up the refugee-policy imagination.,7
1942793302,1.0,2014-05-28,8,0.44910932,Canada can take more refugees.,3
1291549365,1.0,1955-02-26,5,0.20067908,"Liberal, CCFer Call for Easing Of Refugee Rules.",4
1151460687,1.0,1986-07-11,7,0.22223848,Visas for Portugal.,2
2122110458,1.0,2015-12-29,8,0.1949111,Should refugees be welcomed with debt?.,0
1313856119,1.0,1948-09-22,4,0.22985981,Canada to Admit Hundred Refugees.,0
1688092662,1.0,2012-12-06,8,0.22897582,Ottawa targets Romanian asylum seekers.,13
2459854165,1.0,2017-01-30,8,0.14813992,Ottawa must lead a global response to aid refugees stranded by ban.,3
1368940308,1.0,2003-03-07,8,0.22153935,Economy will hurt if huddled masses forsake the U.S..,1
1287278214,1.0,1952-10-10,5,0.2629799,"Increase Immigration, Catholic Bishops Urge; Barriers Called Unjust.",0
2610175278,1.0,2018-04-24,8,0.37024537,"Another summer, another border crisis.",5
1149477967,1.0,1991-10-23,7,0.19857092,Iranian granted refugee status.,8
1151476045,1.0,1986-08-20,7,0.26659366,Letter to the Editor 1 -- No Title.,11
1444803818,1.0,2010-08-13,8,0.56699073,THE SEIZURE OF THE SUN SEA.,13
1412675732,1.0,2002-04-30,8,0.19026196,The cost of playing with the big guy.,7
1143626894,1.0,1994-03-08,7,0.17747007,Harris's comments.,0
1356668809,1.0,2002-07-27,8,0.16517606,Pilgrims seek refugee status despite tough visa screening.,2
1356010501,1.0,1940-06-06,4,0.26411515,Allow More Refugees To Come to Dominion.,0
1412264687,1.0,2007-08-16,8,0.20708725,CANADA-U.S. RELATIONS.,7
1356960141,1.0,2002-05-01,8,0.22740293,Letter to the Editor 1 -- No Title.,7
1237265886,1.0,1988-12-29,7,0.28230295,"Critics of new $100-million scheme predict human, economic suffering.",2
1148239393,1.0,1994-09-12,7,0.28103507,Refugee guidelines criticized.,2
1323641658,1.0,1947-10-03,4,0.2966662,Medical Official Against Importing Displaced Doctors.,0
1238721861,1.0,1982-01-22,7,0.20285675,Lack of sponsors for Polish refugees puzzles Axworthy.,0
1151120050,1.0,1991-05-30,7,0.28189895,An Economic Council report debunks a few notions about immigration.,1
1143344630,1.0,1981-10-20,7,0.42521337,East Indians split over visa policy.,12
1325630351,1.0,1940-03-04,4,0.2652647,REFUGEE FLIGHT OUT OF EUROPE LIKE HUGUENOTS.,0
1137347740,1.0,1996-02-29,7,0.26938328,"Extradition Canadian-style, with eyes firmly shut.",9
1354485059,1.0,1930-01-09,4,0.343583,SWEDISH FAMES COMING TO CANADA.,0
1325715485,1.0,1947-04-29,4,0.25997883,Church Leads Attack On Admission of Poles Who Fought With Axis.,0
1434908264,1.0,1986-11-17,7,0.14846796,Quiet in the Caribbean.,0
2610146759,0.7509472837013662,2018-07-23,8,0.18532112,The refugee issue is dangerous politics.,1
1143646857,0.6689555033725757,1997-09-02,7,0.21189381,Refugees and immigration.,0
1241441332,0.6632978239208374,1977-07-22,7,0.34455812,"Broaden definition of refugee in immigration bill, MPs urge.",8
1125784644,0.6531629799516551,2001-12-07,7,0.19683832,"Crack down on refugees, Commons report urges.",7
1151111154,0.6502756342255875,1991-03-12,7,0.16941406,Refugee rights.,4
1513508940,0.6366644171976663,2011-06-17,8,0.24670425,A plan to make Canada less desireable.,13
1125512366,0.634540532897396,2001-06-22,7,0.2890898,Keep our door open.,1
1237170136,0.6338913503158015,1989-05-12,7,0.15351057,Shrinking refugee rights.,1
1238331892,0.6321476760684671,1988-07-22,7,0.45236567,Court battle pledged as refugee legislation receives royal assent.,8
1143733555,0.6271920923410523,1995-06-27,7,0.1734735,Canada's refugee problems.,1
2122118681,0.6266796849503424,2015-10-09,8,0.1813734,Tories apply specific criteria for refugees.,1
1269996330,0.6222610808346666,2001-01-08,7,0.10162138,Don't slam the door.,14
1444926563,0.6213480092547217,2010-08-24,8,0.13988268,"Immigrants, refugees.",1
2748166774,0.6188358433869092,2019-04-10,8,0.2895261,Refugee advocates decry changes to asylum laws in budget bill.,5
2273266097,0.6175299071298704,2016-02-03,8,0.29470655,"Refugees no danger, U.S. told.",3
1238468008,0.616377440518471,1987-05-07,7,0.28172567,Considering refugees.,2
1238466276,0.6156477802480357,1987-08-13,7,0.2086429,Misguided bills pose a threat to true refugees.,8
2748169543,0.6146780228980231,2019-04-29,8,0.3232327,Views on immigration hold steady: poll.,1
1412188107,0.614168853863693,2007-09-22,8,0.1106812,"ASYLUM SEEKERS 'IF YOU GET JUST 5 PER CENT... THAT WOULD BE 400,000 PEOPLE'.",5
1411743496,0.6132458846876311,2008-04-01,8,0.17125615,IRAQI REFUGEES.,3
1238522381,0.6126573541176343,1987-08-25,7,0.5012533,Refugee bill changes to be unveiled today.,8
1137466050,0.6122967644938165,1999-04-08,7,0.1866789,A refuge for refugees.,0
1238543976,0.6116515457619267,1987-03-06,7,0.15734641,"Phone-ins, polls bristle with anti-immigrant feelings.",1
1444806568,0.6104176271797009,2010-08-28,8,0.29904526,REFUGEES.,13
1151474648,0.609890179333788,1986-08-13,7,0.30669934,Canada best of choices U.S. spokesman says.,11
2121472160,0.607777867011238,2015-09-12,8,0.28098273,TALKING POINT.,3
1356972692,0.607764144636601,2002-05-01,8,0.42017162,"Ban refugees from U.S., Alliance says.",7
1125755311,0.6064806929105101,2001-04-03,7,0.20032722,Refugees fight terrorist label in Canada.,9
1368147825,0.6058172587671814,2003-05-29,8,0.16015351,Why Canada must not intercept asylum-seekers.,13
1125496214,0.6047173761209736,2001-12-06,7,0.21429002,The Power Game.,7
1151549623,0.6039655125875906,1992-06-18,7,0.24177168,Proposals on refugees come under attack.,8
2459965503,0.6028191442653162,2017-02-20,8,0.19832608,"Sizable minority says Canada is accepting too many refugees, poll shows.",5
1412675347,0.6020877704569247,2009-07-20,8,0.2853835,REFUGEE LAW VERSUS IMMIGRATION POLICY.,10
2606113838,0.6010810929699573,2018-08-02,8,0.30720368,Asylum seekers in Canada: A look at the issues and facts.,5
1238331414,0.5999077825913237,1988-07-21,7,0.21335249,"Many migrants not in danger, study says.",6
1444958294,0.5973727909749922,2010-12-02,8,0.35790348,REFUGEE LEGISLATION.,13
1412187459,0.5973182350565134,2007-09-22,8,0.17724518,BORDERS.,6
2610325020,0.595940848389607,2018-07-26,8,0.44134983,Bordering on the ridiculous.,5
1811408353,0.5955863110082575,2013-09-04,8,0.21784267,Federal government examined limiting number of refugees with health problems.,15
1325673309,0.5949028453922036,1943-12-09,4,0.236871,Talents of Canadians and Refugees Should Be Joined for Nation's Weal.,0
1151469353,0.5938351844602882,1986-08-21,7,0.2978051,"Still, a sanctuary.",11
1412791632,0.593619594436052,2009-11-03,8,0.27038312,IMMIGRATION.,10
1400818330,0.5934327623135535,2009-10-24,8,0.29970264,ASYLUM SEEKERS.,11
1444945125,0.5930061569689918,2010-10-25,8,0.35181934,HUMAN SMUGGLING.,13
1237265476,0.592684456353784,1988-12-30,7,0.20917507,Should set example.,2
1238508446,0.5918680454402341,1987-08-20,7,0.21495034,Display Ad 10 -- No Title.,8
1400873798,0.5917294296171317,2009-10-20,8,0.38025048,THE ASYLUM SEEKERS.,13
1237208955,0.5914302027843954,1988-01-05,7,0.20982166,Claims of refuge.,14
1238435639,0.5901421732070485,1987-02-21,7,0.35033384,Handling refugees.,6
1143353310,0.5899311384133025,1993-12-28,7,0.1841263,Our generous refugee rules.,2
1513565885,0.5899291329238944,2011-05-24,8,0.21224412,Canada's refugee system is a dead end for terrorists.,9
2459956848,0.5892446092353453,2017-02-27,8,0.22832146,Tolerance for refugees has limits--even in Canada.,1
1125704957,0.5892445302946832,2001-10-18,7,0.26379448,"Refugee flow won't be cut, Caplan vows.",7
1237217186,0.5892403586955272,1988-01-20,7,0.18669817,No sugar coating for sour legislation.,6
1368739322,0.5887877960807991,2004-08-12,8,0.20365462,Tighter security cited in refugee-claims decline.,7
1238543847,0.5886128271294444,1987-03-04,7,0.2596851,"No amnesty for refugees, minister says.",2
1151549667,0.5885016901846488,1992-06-18,7,0.18057662,A sensible approach to immigration reform.,2
1151558425,0.586152212519814,1992-07-07,7,0.12855196,How best to rescue the refugees?.,14
1238395956,0.586149620697053,1987-01-05,7,0.39675692,Refugees in waiting.,6
1351093998,0.5861099972565355,1987-09-25,7,0.15804654,More immigrants needed.,2
1350808704,0.5860027832685846,1943-10-27,4,0.2987523,Freer Entry for Refugees.,0
1688061761,0.5858484749402905,2012-02-17,8,0.33631355,Tories introduce bill to thwart 'bogus' refugees.,10
2459653934,0.5854792455167855,2017-03-21,8,0.35786697,Poll shows Canadians divided on illegal border crossings.,5
1238432270,0.5833439393884804,1989-01-28,7,0.20543958,"New law to curb refugees violates two rights charters, lawyer asserts.",2
1151577404,0.5832935312186168,1992-11-14,7,0.2572795,Senate asked to stand and fight.,8
1368761595,0.5828166745608274,2004-09-30,8,0.15875795,Just who is a refugee?.,9
1125766074,0.5825964864233005,2001-06-06,7,0.153858,Canada must stand on guard.,8
1237160607,0.5800424502985919,1989-01-10,7,0.21338716,Unease over immigration policy may give support to extremists.,1
2748166752,0.579706124574195,2019-04-15,8,0.19154048,Immigration and borders: a love story.,5
2748609141,0.5784683988365836,2019-04-17,8,0.38213393,"Ottawa's new approach to refugees is fair, UN says.",5
1238413252,0.5782091841448286,1987-01-13,7,0.2847677,Group fears harsh refugee legislation planned.,6
1240457275,0.5780163342179611,1982-03-02,7,0.15703234,New hope for refugees.,2
1143820246,0.5780078985940231,1986-04-09,7,0.280456,Refugees 'have right' to fairness and justice.,2
2273284564,0.5778522131385334,2016-06-23,8,0.25381577,Ottawa seeks assurances from Mexico in lifting visa restrictions.,7
2459958245,0.5773613766956887,2017-03-30,8,0.19644167,More border resources for migrants is not a solution.,5
1238288731,0.5771135095935391,1988-01-22,7,0.20923735,Limits to face on the refugees.,8
1237387924,0.5770686549504517,1988-02-20,7,0.3895819,The arrival gates.,8
1238535130,0.5769906275429537,1987-09-29,7,0.2893722,"70% of refugees false, Weiner says.",8
1140419353,0.5767665382002315,1998-10-20,7,0.10435696,"Just say no, four times.",13
1239227691,0.5766270256075272,1979-08-25,7,0.14870243,Economics not sufficient grounds to refuse refugees.,1
1288727537,0.5761953726834509,1959-12-17,5,0.25503212,Our Responsibility to the Refugees.,0
1444874926,0.5750438119783485,2010-03-31,8,0.3887096,IMMIGRATION.,10
1688062782,0.5740513322641512,2012-02-17,8,0.38536575,"Effective, but a bit more appeal, please.",10
1237455677,0.5734738893689145,1988-12-17,7,0.26090068,Protection for refugees.,2
2606085050,0.5731883674193087,2018-09-15,8,0.36794308,"On the asylum seekers file, is Trudeau up to the task?.",5
1369147798,0.5731547586182423,2005-12-30,8,0.15103893,Attention shoppers.,7
2273253318,0.572527957059974,2016-06-24,8,0.19436677,Groups call claims limit discriminatory.,10
1237167914,0.572395899794605,1989-01-02,7,0.33250818,To identify refugees.,2
1238503876,0.5722915475266032,1987-08-12,7,0.31923798,Power of new migrants law shocks critics.,8
1411802839,0.5722908931684172,2009-11-04,8,0.21407467,REFUGEES AND IMMIGRATION.,1
1151572174,0.5713713921808938,1992-12-05,7,0.17175679,Ottawa cuts refugee limit for next year.,1
1351349699,0.570461106751764,1939-05-31,4,0.2695667,URGES CANADA TO AID CAUSE Of REFUGEES.,0
1238546138,0.5703123396567374,1987-10-02,7,0.16473576,Mulroney defends refugee legislation.,8
1688077842,0.5698436148444311,2012-05-10,8,0.3566685,Concession on refugee detentions could be the pattern for needed reforms.,10
1240457384,0.5692922388223051,1982-02-19,7,0.18729834,Canada's bottom line on refugee admissions.,6
1314051728,0.5690891804230047,1989-03-10,7,0.14810869,It's about time to bite the bullet.,2
1140701693,0.5685409172396528,1997-10-29,7,0.27755243,Canada's policies will continue to be generous to immigrants.,1
1238510953,0.5682231014925364,1987-08-25,7,0.17782484,Ominous overkill in Ottawa's refugee bill.,8
1444806186,0.5675633682347306,2010-08-19,8,0.29103974,THE SUN SEA.,13
1239488682,0.566756400033028,1975-06-11,6,0.21930744,Immigration brief.,4
1143881340,0.5667230361134575,1993-11-27,7,0.23703487,Crucial not to betray values.,1
1151417816,0.5660479399470136,1990-10-31,7,0.13959754,Refugee system called inefficient.,7
1151171488,0.5652802109361843,1990-10-29,7,0.27406237,Improving the immigrant flow.,1
1237498839,0.5645713119260555,1984-05-07,7,0.14390823,"Canada flexible on refugees, minister says.",2
2122302114,0.5644487750477286,2015-11-03,8,0.31128845,Advocates call refugee goals unrealistic.,3
1238514161,0.5643252010966038,1987-09-04,7,0.39603806,Leaning on refugees.,8
1688065561,0.5642699407900938,2012-02-18,8,0.26305744,LETTERS TO THE EDITOR.,15
1124979234,0.5642276491188498,1980-05-10,7,0.20447294,"Refugee policy too narrow, church group tells Ottawa.",6
1688079470,0.5640651989025143,2012-06-16,8,0.20680632,Refugee claimants.,10
1136349713,0.5639295417268765,1996-03-08,7,0.26887476,Guide on civil-war refugees issued.,2
1151538032,0.5637068841527803,1992-06-17,7,0.20249034,Immigration overhaul sought.,2
1238550274,0.5636702123104933,1987-10-26,7,0.356182,Right of refugees to seek asylum is beina eroded conference told.,8
2748599931,0.5635533673524866,2019-04-11,8,0.3549952,Trudeau defends tougher stand on border.,5
1436028424,0.5620944566381721,1984-12-19,7,0.27645323,REFUGEES' MAZE.,2
2459956749,0.5613227701438758,2017-02-22,8,0.392606,Is Canada ready for a refugee crisis?.,5
1412186935,0.5609521630968753,2007-09-22,8,0.250203,REFUGEE LAWS 'DESPERATE PEOPLE WANT TO HEAR THE MOST POSITIVE MESSAGE POSSIBLE'.,10
1237245348,0.5605050569070065,1988-06-07,7,0.1699463,"Terrorists not admitted to Canada as refugees, minister tells House.",8
1353772134,0.5601858381280674,1939-08-21,4,0.27343723,IT'S AS OPPORTUNITY.,0
1444874676,0.5601251789933251,2010-03-29,8,0.30668798,IMMIGRATION AND REFUGEE LEGISLATION.,10
1444894211,0.5599579818689808,2010-06-03,8,0.3939956,REFUGEE REFORM.,10
1412222656,0.5599402095120577,2008-10-22,8,0.18322058,Canada has a job to do.,10
1325762363,0.5597484562247373,1943-11-26,4,0.2752987,Proposed Admission of Refugees Draws Protest by War Veterans.,0
1143522130,0.5589220405550973,1998-11-14,7,0.2387008,More refugees sheltered in Canada by new rules.,6
1238543202,0.5577803423057589,1987-10-14,7,0.18891597,LETTERS TO THE EDITOR.,8
1238429056,0.5574787999832036,1987-02-16,7,0.3110251,Weiner decries attitude of many toward refugee status claimants.,6
1222363100,0.5573514075526729,1985-09-12,7,0.29764897,Refugee claimants overloading system.,2
1412596812,0.5565121556689371,2009-08-26,8,0.61932296,VISA REQUIREMENTS.,10
1444822462,0.556505003245672,2010-09-22,8,0.5337504,REFUGEE POLICY.,13
1291443630,0.5564421237933954,1988-01-29,7,0.48498738,Canada seeks havens for refugee claimants it turns away.,8
1238475459,0.5564109775094441,1987-09-30,7,0.18386619,"Refugees finding 'doors slammed,' Amnesty reports as rules tightened.",8
1237221054,0.5563744943810858,1988-02-19,7,0.16753076,LETTERS TO THE EDITOR.,0
2459953513,0.5558369556938844,2017-09-15,8,0.42771617,Country split on asylum seekers: poll.,5
2610192144,0.5556006689023384,2018-09-19,8,0.30340546,Ottawa can do more on the border issue.,5
1151109562,0.5553940353189847,1991-03-25,7,0.18572082,Wasted first stage.,2
1151694043,0.5550978400191834,1992-03-20,7,0.1355277,Changes to immigration laws imminent.,2
1411890550,0.5549678107616052,2003-01-03,8,0.23894499,Fears spark surge in rate of asylum seekers at border.,5
1139022527,0.5543904815672999,1999-08-13,7,0.43123874,Guard the open door.,14
1238614569,0.5542454687215305,1987-08-03,7,0.14095834,Reform of refugee policy should ensure fairness.,2
2459920398,0.5541460276370346,2017-08-09,8,0.15278263,LETTERS TO THE EDITOR.,5
1688092662,0.5540707190965258,2012-12-06,8,0.20939279,Ottawa targets Romanian asylum seekers.,13
1287816582,0.5540021378452334,1951-10-24,4,0.23558499,Ottawa Weighs Plight of Eight Refused Entry.,0
1434914556,0.5539925540086117,1986-12-31,7,0.36252582,"Canadians fear Asian influx, minister says.",6
1237499318,0.5534841150231209,1984-03-15,7,0.37622276,New visa rules called threat to refugees.,6
1238354668,0.5533510005488341,1988-08-27,7,0.17831416,"Immigration confusing, study says.",12
1239235517,0.553023566833108,1979-03-22,7,0.27448976,For refugees who have found no refuge.,4
1238500318,0.5530164360983023,1987-08-05,7,0.1806192,Custody rule could halt bogus refugees.,14
1238284766,0.5529945828562659,1988-01-09,7,0.3143214,Two bills would respect rights under the Charter.,8
1151737388,0.5521598030078766,1992-11-02,7,0.275024,A better immigration law.,8
1136811832,0.5512978962233377,1999-11-06,7,0.2272648,There is a difference between everyone and anyone.,2
1151680593,0.5509266363075148,1985-05-25,7,0.3121302,"20,000 refugees get chance to stay.",2
1142097046,0.5498001653824746,1993-11-15,7,0.15157801,Who should Canada accept as immigrants?.,1
1237292367,0.5497884740380935,1988-02-27,7,0.16186816,Keep issues separate.,7
1291435973,0.5497782516960098,1987-12-16,7,0.5840003,Immigration changes rejected by minister.,8
1151542509,0.549579480123007,1992-05-19,7,0.21088101,No 'bogus' refugees.,1
1513515588,0.5492168024020877,2011-07-28,8,0.12409345,IMMIGRATION BAD APPLES.,3
2459955265,0.5483213222718312,2017-08-28,8,0.23963723,A flawed system.,5
1222360452,0.5472461210828053,1985-09-16,7,0.21713684,Beating the system.,6
1151671547,0.547145445640838,1985-05-28,7,0.30018637,"20,000 refugees, migrants wrack immigration system.",2
1411827944,0.5471360722905438,2005-08-12,8,0.32869232,Canadian attitudes harden on immigration.,1
1151469914,0.5471281494558998,1986-07-21,7,0.31048444,Restricting immigrants.,11
1151549681,0.5470995629649729,1992-07-30,7,0.28759095,"Refugees risk torture, execution if forced back, Amnesty charges.",8
1238490767,0.5469096140958046,1987-06-25,7,0.2632604,Bill tilts off balance in choosing refugees.,2
1238501373,0.5465879904096546,1987-08-11,7,0.42993698,Ottawa seeks sweeping power to deal with refugees.,8
1356701118,0.5457652167399919,2002-02-06,8,0.29893216,Canada's refugee rules 'superior'.,7
1140277400,0.5455220745721375,1998-01-14,7,0.2198391,Time to reform refugee process.,10
2122233368,0.5454105292464491,2015-12-09,8,0.27260897,"Distinct societies: Why Canada, U.S. diverge on refugees.",1
1444805086,0.545019117214053,2010-08-14,8,0.5565369,SRI LANKAN REFUGEES.,13
1151437933,0.5449698824986557,1986-03-13,7,0.18357356,Amnesty angered by proposals to tighten rules on refugee status.,2
1444806052,0.5444317310688902,2010-09-06,8,0.3779195,IMMIGRATION.,1
1811314385,0.5444137986501292,2013-02-18,8,0.46085456,Refugee rights.,15
2459961391,0.543862134858916,2017-09-05,8,0.24622464,Land of liberty.,5
1143970388,0.5435255897397896,1986-11-18,7,0.22148593,Hard Questions on immigration beg for answers.,1
2605919044,0.5430591776229743,2018-07-06,8,0.40155837,Idea of a Trump deal muddies the waters around our asylum-seekers policy.,5
2122071974,0.5426298110417346,2015-11-19,8,0.26773202,The refugee discussion is just beginning.,3
1412592761,0.5425855846599701,2009-08-11,8,0.4138085,Refugees Harper to table reform that would fast-track claims from safe countries.,10
2605839693,0.5420967513949736,2018-08-27,8,0.21377957,We disregard asylum seekers at great peril to our humanity.,5
1238534324,0.5420053947971516,1987-08-19,7,0.11010694,Security checks in bill are a threat to refugees.,0
2748641171,0.541824744045077,2019-12-19,8,0.23059022,Mexican envoy warns against reimposing visas to address refugee claims.,10
2459920613,0.5413295541114342,2017-02-09,8,0.4090782,PM concerned about influx of refugees in Manitoba.,5
2459967220,0.5410549666074432,2017-02-24,8,0.1421375,Border concerns.,5
1238561921,0.5404744116282248,1988-06-18,7,0.321084,Refugees in dangerous waters.,11
1688080666,0.540346924480459,2012-05-26,8,0.57386845,Refugee health care.,15
1222287717,0.5401704958476878,1985-06-24,7,0.21322738,Letters to the editor.,2
1400878413,0.5401174372128982,2009-11-12,8,0.29776782,REFUGEE CLAIMS.,13
1151549635,0.5401137074816604,1992-06-18,7,0.3230907,THE NEWS.,2
1369002649,0.5400970371045656,2003-12-03,8,0.22382723,"Human rights are for the tricky cases, too.",9
1143720085,0.5392180913023963,1993-02-02,7,0.23132943,Refugee council appeals to Clinton.,2
1237490053,0.5382390284920214,1984-04-06,7,0.29865503,Port in the storm.,6
1143180253,0.5380880711785655,1994-05-18,7,0.20465228,The status of refugees.,2
1125526469,0.5379703703460194,2001-10-16,7,0.13257046,Immigration security: From bad to worse.,9
1291469056,0.5373267693638587,1949-11-10,4,0.2182952,Many More Are Waiting.,0
2748172826,0.5371048734545436,2019-04-30,8,0.30826628,"Liberals' pivot on refugees is 'concerning,' Amnesty says.",5
2459850067,0.5368837981841359,2017-01-26,8,0.31751117,Advocates urge Canada to keep borders open.,5
1444932574,0.5367372193208825,2010-09-08,8,0.5461965,MIGRANTS THE RESPONSE.,13
1444923684,0.5360359235043402,2010-08-18,8,0.22496964,REFUGEE CLAIMANTS.,13
2610367042,0.5354581050124719,2018-05-07,8,0.37898996,Liberals must address asylum-seeker issue.,5
2122196299,0.5350719376483689,2015-12-02,8,0.15247208,"By denying entry to some men, Canada betrays its better instincts.",0
2610443737,0.535051427095229,2018-09-21,8,0.19041423,"HOPE, AT THE BORDER.",16
1371160481,0.5349202608761644,2002-11-07,8,0.4105034,Approaching the border.,7
1323583934,0.5343832579993426,1940-05-17,4,0.20115024,Correspondence.,0
1233232979,0.53432884683757,1985-07-16,7,0.20392571,Canada's refugee door off hinges.,2
2748260225,0.5342731569718151,2019-11-04,8,0.43828842,Refugee advocates to challenge Canada-U.S. asylum pact.,5
1241374782,0.5341533672317585,1977-06-08,7,0.21926509,Letters to the editor.,4
1238623222,0.5339636137057676,1988-12-06,7,0.2634593,Refugees hustling to beat rule deadline.,2
1325942305,0.5339622291046552,1939-03-09,4,0.24672262,Opposed to Refugees.,0
1444760833,0.5331908659567716,2010-07-13,8,0.3300834,CANADA.,10
1444932742,0.532850457132237,2010-09-07,8,0.3477245,IMMIGRATION.,13
2122292792,0.5327991957710972,2015-11-18,8,0.30836996,Ottawa seeks to ease fears over refugees.,3
1444895241,0.5324557472827499,2010-06-11,8,0.32502654,REFUGEE BILL.,10
1325994644,0.5322372215772279,1943-11-30,4,0.25955278,Generosity Urged Toward Refugees.,0
1444893640,0.5320734297536499,2010-05-27,8,0.34776092,ASYLUM SEEKERS ANALYSIS.,10
1143841778,0.5320106023379422,1986-08-25,7,0.19366899,Lenient refugee policy urged by church councir.,11
2273220180,0.5317773424038594,2016-07-13,8,0.20463853,In or out.,9
2606059093,0.5314283187597887,2018-09-12,8,0.46304816,Asylum-seeker surge at Quebec border chokes refugee system.,5
1237676569,0.5313186882989349,1989-01-14,7,0.14725696,An unpleasant history of immigration policy.,12
2748203735,0.531263386543578,2019-07-20,8,0.2668015,Canada is ignoring its own hemisphere.,3
